DEBUG:root:{'recognized':'1','name':'vanderlei-ivo-0'currentTime':'time.struct_time(tm_year=2019, tm_mon=5, tm_mday=11, tm_hour=5, tm_min=58, tm_sec=21, tm_wday=5, tm_yday=131, tm_isdst=0)'
DEBUG:root:{'recognized':'1','name':'vanderlei-ivo-0'currentTime':'time.struct_time(tm_year=2019, tm_mon=5, tm_mday=11, tm_hour=5, tm_min=58, tm_sec=21, tm_wday=5, tm_yday=131, tm_isdst=0)'
DEBUG:root:{'recognized':'1','name':'vanderlei-ivo-0'currentTime':'time.struct_time(tm_year=2019, tm_mon=5, tm_mday=11, tm_hour=5, tm_min=58, tm_sec=22, tm_wday=5, tm_yday=131, tm_isdst=0)'
DEBUG:root:{'recognized':'1','name':'vanderlei-ivo-0'currentTime':'time.struct_time(tm_year=2019, tm_mon=5, tm_mday=11, tm_hour=5, tm_min=58, tm_sec=22, tm_wday=5, tm_yday=131, tm_isdst=0)'
DEBUG:root:{'recognized':'1','name':'vanderlei-ivo-0'currentTime':'time.struct_time(tm_year=2019, tm_mon=5, tm_mday=11, tm_hour=5, tm_min=58, tm_sec=22, tm_wday=5, tm_yday=131, tm_isdst=0)'
DEBUG:root:{'recognized':'1','name':'vanderlei-ivo-0'currentTime':'time.struct_time(tm_year=2019, tm_mon=5, tm_mday=11, tm_hour=5, tm_min=58, tm_sec=22, tm_wday=5, tm_yday=131, tm_isdst=0)'
DEBUG:root:{'recognized':'1','name':'vanderlei-ivo-0'currentTime':'time.struct_time(tm_year=2019, tm_mon=5, tm_mday=11, tm_hour=5, tm_min=58, tm_sec=22, tm_wday=5, tm_yday=131, tm_isdst=0)'
DEBUG:root:{'recognized':'1','name':'vanderlei-ivo-0'currentTime':'time.struct_time(tm_year=2019, tm_mon=5, tm_mday=11, tm_hour=5, tm_min=58, tm_sec=22, tm_wday=5, tm_yday=131, tm_isdst=0)'
DEBUG:root:{'recognized':'1','name':'vanderlei-ivo-0'currentTime':'time.struct_time(tm_year=2019, tm_mon=5, tm_mday=11, tm_hour=5, tm_min=58, tm_sec=23, tm_wday=5, tm_yday=131, tm_isdst=0)'
DEBUG:root:{'recognized':'1','name':'vanderlei-ivo-0'currentTime':'time.struct_time(tm_year=2019, tm_mon=5, tm_mday=11, tm_hour=5, tm_min=58, tm_sec=23, tm_wday=5, tm_yday=131, tm_isdst=0)'
DEBUG:root:{'recognized':'1','name':'vanderlei-ivo-0'currentTime':'time.struct_time(tm_year=2019, tm_mon=5, tm_mday=11, tm_hour=5, tm_min=58, tm_sec=23, tm_wday=5, tm_yday=131, tm_isdst=0)'
DEBUG:root:{'recognized':'1','name':'vanderlei-ivo-0'currentTime':'time.struct_time(tm_year=2019, tm_mon=5, tm_mday=11, tm_hour=5, tm_min=58, tm_sec=23, tm_wday=5, tm_yday=131, tm_isdst=0)'
DEBUG:root:{'recognized':'1','name':'vanderlei-ivo-0'currentTime':'time.struct_time(tm_year=2019, tm_mon=5, tm_mday=11, tm_hour=5, tm_min=58, tm_sec=23, tm_wday=5, tm_yday=131, tm_isdst=0)'
DEBUG:root:{'recognized':'1','name':'vanderlei-ivo-0'currentTime':'time.struct_time(tm_year=2019, tm_mon=5, tm_mday=11, tm_hour=5, tm_min=58, tm_sec=23, tm_wday=5, tm_yday=131, tm_isdst=0)'
DEBUG:root:{'recognized':'1','name':'vanderlei-ivo-0'currentTime':'time.struct_time(tm_year=2019, tm_mon=5, tm_mday=11, tm_hour=5, tm_min=58, tm_sec=23, tm_wday=5, tm_yday=131, tm_isdst=0)'
DEBUG:root:{'recognized':'1','name':'vanderlei-ivo-0'currentTime':'time.struct_time(tm_year=2019, tm_mon=5, tm_mday=11, tm_hour=5, tm_min=58, tm_sec=23, tm_wday=5, tm_yday=131, tm_isdst=0)'
DEBUG:root:{'recognized':'1','name':'vanderlei-ivo-0'currentTime':'time.struct_time(tm_year=2019, tm_mon=5, tm_mday=11, tm_hour=5, tm_min=58, tm_sec=23, tm_wday=5, tm_yday=131, tm_isdst=0)'
DEBUG:root:{'recognized':'1','name':'vanderlei-ivo-0'currentTime':'time.struct_time(tm_year=2019, tm_mon=5, tm_mday=11, tm_hour=5, tm_min=58, tm_sec=23, tm_wday=5, tm_yday=131, tm_isdst=0)'
DEBUG:root:{'recognized':'1','name':'vanderlei-ivo-0'currentTime':'time.struct_time(tm_year=2019, tm_mon=5, tm_mday=11, tm_hour=5, tm_min=58, tm_sec=23, tm_wday=5, tm_yday=131, tm_isdst=0)'
DEBUG:root:{'recognized':'1','name':'vanderlei-ivo-0'currentTime':'time.struct_time(tm_year=2019, tm_mon=5, tm_mday=11, tm_hour=5, tm_min=58, tm_sec=24, tm_wday=5, tm_yday=131, tm_isdst=0)'
DEBUG:root:{'recognized':'1','name':'vanderlei-ivo-0'currentTime':'time.struct_time(tm_year=2019, tm_mon=5, tm_mday=11, tm_hour=5, tm_min=58, tm_sec=24, tm_wday=5, tm_yday=131, tm_isdst=0)'
DEBUG:root:{'recognized':'1','name':'vanderlei-ivo-0'currentTime':'time.struct_time(tm_year=2019, tm_mon=5, tm_mday=11, tm_hour=5, tm_min=58, tm_sec=25, tm_wday=5, tm_yday=131, tm_isdst=0)'
DEBUG:root:{'recognized':'1','name':'vanderlei-ivo-0'currentTime':'time.struct_time(tm_year=2019, tm_mon=5, tm_mday=11, tm_hour=5, tm_min=58, tm_sec=25, tm_wday=5, tm_yday=131, tm_isdst=0)'
DEBUG:root:{'recognized':'1','name':'vanderlei-ivo-0'currentTime':'time.struct_time(tm_year=2019, tm_mon=5, tm_mday=11, tm_hour=5, tm_min=58, tm_sec=25, tm_wday=5, tm_yday=131, tm_isdst=0)'
DEBUG:root:{'recognized':'1','name':'vanderlei-ivo-0'currentTime':'time.struct_time(tm_year=2019, tm_mon=5, tm_mday=11, tm_hour=5, tm_min=58, tm_sec=25, tm_wday=5, tm_yday=131, tm_isdst=0)'
DEBUG:root:{'recognized':'1','name':'vanderlei-ivo-0'currentTime':'time.struct_time(tm_year=2019, tm_mon=5, tm_mday=11, tm_hour=5, tm_min=58, tm_sec=25, tm_wday=5, tm_yday=131, tm_isdst=0)'
DEBUG:root:{'recognized':'1','name':'vanderlei-ivo-0'currentTime':'time.struct_time(tm_year=2019, tm_mon=5, tm_mday=11, tm_hour=5, tm_min=58, tm_sec=25, tm_wday=5, tm_yday=131, tm_isdst=0)'
DEBUG:root:{'recognized':'1','name':'vanderlei-ivo-0'currentTime':'time.struct_time(tm_year=2019, tm_mon=5, tm_mday=11, tm_hour=5, tm_min=58, tm_sec=28, tm_wday=5, tm_yday=131, tm_isdst=0)'
DEBUG:root:{'recognized':'1','name':'vanderlei-ivo-0'currentTime':'time.struct_time(tm_year=2019, tm_mon=5, tm_mday=11, tm_hour=5, tm_min=58, tm_sec=29, tm_wday=5, tm_yday=131, tm_isdst=0)'
DEBUG:root:{'recognized':'1','name':'vanderlei-ivo-0'currentTime':'time.struct_time(tm_year=2019, tm_mon=5, tm_mday=11, tm_hour=5, tm_min=58, tm_sec=29, tm_wday=5, tm_yday=131, tm_isdst=0)'
DEBUG:root:{'recognized':'1','name':'vanderlei-ivo-0'currentTime':'time.struct_time(tm_year=2019, tm_mon=5, tm_mday=11, tm_hour=5, tm_min=58, tm_sec=30, tm_wday=5, tm_yday=131, tm_isdst=0)'
DEBUG:root:{'recognized':'1','name':'vanderlei-ivo-0'currentTime':'time.struct_time(tm_year=2019, tm_mon=5, tm_mday=11, tm_hour=5, tm_min=58, tm_sec=31, tm_wday=5, tm_yday=131, tm_isdst=0)'
DEBUG:root:{'recognized':'1','name':'vanderlei-ivo-0'currentTime':'time.struct_time(tm_year=2019, tm_mon=5, tm_mday=11, tm_hour=5, tm_min=59, tm_sec=30, tm_wday=5, tm_yday=131, tm_isdst=0)'
DEBUG:root:{'recognized':'1','name':'vanderlei-ivo-0'currentTime':'time.struct_time(tm_year=2019, tm_mon=5, tm_mday=11, tm_hour=5, tm_min=59, tm_sec=30, tm_wday=5, tm_yday=131, tm_isdst=0)'
DEBUG:root:{'recognized':'1','name':'vanderlei-ivo-0'currentTime':'time.struct_time(tm_year=2019, tm_mon=5, tm_mday=11, tm_hour=5, tm_min=59, tm_sec=30, tm_wday=5, tm_yday=131, tm_isdst=0)'
DEBUG:root:{'recognized':'1','name':'vanderlei-ivo-0'currentTime':'time.struct_time(tm_year=2019, tm_mon=5, tm_mday=11, tm_hour=5, tm_min=59, tm_sec=30, tm_wday=5, tm_yday=131, tm_isdst=0)'
DEBUG:root:{'recognized':'1','name':'vanderlei-ivo-0'currentTime':'time.struct_time(tm_year=2019, tm_mon=5, tm_mday=11, tm_hour=5, tm_min=59, tm_sec=30, tm_wday=5, tm_yday=131, tm_isdst=0)'
DEBUG:root:{'recognized':'1','name':'vanderlei-ivo-0'currentTime':'time.struct_time(tm_year=2019, tm_mon=5, tm_mday=11, tm_hour=5, tm_min=59, tm_sec=30, tm_wday=5, tm_yday=131, tm_isdst=0)'
DEBUG:root:{'recognized':'1','name':'vanderlei-ivo-0'currentTime':'time.struct_time(tm_year=2019, tm_mon=5, tm_mday=11, tm_hour=5, tm_min=59, tm_sec=30, tm_wday=5, tm_yday=131, tm_isdst=0)'
